如何清空实时目的地	如何取消实时目的地设置
变更车	如何更改车辆信息
邮政银行为什么不能体现	提现支持的银行卡类型
怎么不给活呀	系统未播报订单
怎么看银行卡	如何修改银行卡号
为什么我的分成少了	查询扣费明细
为什么我没有空驶补偿	如何申请补偿
同一车牌号能注册几个滴滴司机	同一辆车可以配多个司机服务吗
君威是什么型	滴滴专车的分类
催款不给怎么办	乘客未支付
7元，滴滴公司怎么收取分成的。司机所得怎么才4.1元？怎么算的。	你们的车费是怎么扣的
如何换台车？	如何更改车辆信息
问题迟迟未解决	客服何时回电
我的车辆为什么不能升级专车 ?车型的判定标准是什么	滴滴专车的分类
预约单费用高些吗	滴滴打车如何计费
加价是个人加还是平台加?	什么是平台加价
乘客未付费，快半个月了	乘客未支付
我打了快车，离开后才发现多了20元其他费用	什么是其他费用
必须要登机的号码出车吗	如何更改电话号码
我的滴滴总是没有附近的订单播报的？有都是10公里以外的，偶尔有附近几公里的	接单距离较远
请问20,21两天的接单奖没有的？	未收到奖励
怎么我电话号码关注不了滴滴快车之家	如何关注滴滴微信公众号
限号5环外如何设置订单	车辆限号能否服务
1号11点半到14点半 我接了7单指派订单为什么没奖励	未收到奖励
一开始百分百5星，后来4.8在后来4.6	星级如何评定
都不敢接单了，就怕是刷单的	作弊举报
问一下，我是郊区。6环以外，今天我限号，还会派给我5环以内的单吗？	车辆限号能否服务
怎么莫名产生了其他费用	什么是其他费用
现在客人多车少，没接到客人指派降低怎么处理	指派模式实时是什么意思
我十二月份抢单总数超过了150单，怎么一直没有ETC的奖励啊？	武汉ETC补助什么时候发
青海西宁滴滴快车合法吗？遇到运管查车咋办？	滴滴是不是合法
行程结束后，为何不能分享打车卷了	怎样分享优惠券
打电话可以问吗	滴滴的客服电话
提现可以不提吗	可以提什么时候的钱
今天怎么有两种奖励的?	奖励活动有哪些
在高峰期接的拼车单有高峰期奖励吗？	拼车单怎样计算奖励单数
接到太远的预约单怎办？	指派订单距离乘客较远
我今天第一次接单，客服结算168.9为什么我钱包只有150.31	查询扣费明细
昨天由于定位错误改派订单，已封禁一天，今天怎么还没有解禁？	账号封禁时间已到未解除的原因
我注删的是北京的，我人在武汉，怎样才能改到武汉来	如何更改资料
为什么我的钱包金额是负数	查询扣费明细
请问好评率怎么换算星级	星级如何评定
能帮我查查哪笔订单给我评一星么	星级如何评定
为什么相距6公里还会把单给我	指派订单距离乘客较远
请问，高速过路费过桥费等等的此类费用是由乘客出吗？	高速费如何处理
怎么不显示刚才的单子缴费记录？	已结束订单未收到支付消息
我用的指派模式，来单直接就点，怎么还会被抢。就发生在一分钟前	派单被抢原因
今天我抢了一单。打客户电话不接。等了快20分钟。然后我改派了。现在封禁我帐号了	乘客失联
我跑了十八公里为啥就二十块	计费错误
怎样将车辆解除？	如何更改车辆信息
今天我接单总额151_1我的收入是多少？	你们的车费是怎么扣的
2016年1月12号平峰奖励没有到账	未收到奖励
星级不够四点八的能参加有奖活动吗	什么情况会影响奖励
快车收费标准是多少？夏天是否有变化？	滴滴打车如何计费
推荐新车主后的奖金什么时候给	未收到推荐奖励
为什么说我触犯红线	加盟车的车龄要求
我想问一下一个我们能拿多少钱	你们的车费是怎么扣的
跑了这么多单为什么我的星级始终没变化，麻烦给我升上去吧！	如何提升星级
在广州的滴滴师机回到河南省光山县能有奖励吗	异地车牌是否有奖励活动
请帮本号变更城市	城市如何更改
我是一个直辖市呀，绵阳改成都可以嘛	可以异地注册滴滴打车吗
3月3日有5单，在奖励范围内，没有收到款	未收到奖励
昨天有一单，客人说取消了。但没成功。	订单被取消司机端未显示
要怎么样才算作弊？	作弊封禁的情况有哪些
星斯二提钱银行卡不支迟	提现支持的银行卡类型
指派订单是何意？	指派模式是什么
我一五年8月17日的订单至今没有支付，平台也没有给予处理，	乘客未支付
请问滴滴快车是怎么计费的，例乘客付款18.7我的钱包到账只有14.2是怎么计算的，谢谢！	你们的车费是怎么扣的
我的车好几天没有订单呢	系统未播报订单
怎么滴滴播报的声音这么响？	滴滴播报如何关闭
如何撤诉？我投诉了，原来是误会，怎么可以撤销？	如何撤销投诉
凌晨6点47的订单天立科技大厦到宝安党校公车站怎么会查不到呢	如何查询订单状态
指派能拒绝？	指派模式拒单是否有影响
资料补全不了怎么修改手机号	如何补齐资料
空跑回市区有啥补偿	如何申请补偿
为什么地图显示周围有很多单，但是就是不发给我呢？每次都是要等一二十分钟，有时候半个小时甚至一个小时。	派单模式与成交率有关系吗
我昨天的连击奖金怎么没到账？	未收到奖励
我想用另外一辆车接单，是重新注册还是添加车辆？	同一个账号可以注册两辆车吗
我能换个车升级吗	如何更改车辆信息
乘客无故取消行程，但是系统里面又不取消，我提交取消，系统提示取消两次后，我不能接单了。	如何取消订单
我昨天申请了快车，今天准备出车，但是有点担心别人说的运管和交警查，请问像我们这样的新加入者需要注意什么?	滴滴是不是合法
为什么在指派上没有单 ? 在抢单上却抢不到	派单模式与成交率有关系吗
我希望贵方能尽快给我安排一个公司	什么时候给我分配租赁公司
拼车单第二单离我太远	指派订单距离乘客较远
星级在4.5以下就不享受所有奖励吗？	奖励活动有哪些
乘客取消订单28分钟了我这边仍然没有提示，还是让我接乘客。什么意思？	订单被取消司机端未显示
请问明天的奖励政策到底是个什么意思	奖励活动有哪些
为什么我今天早晨8点57接的单没有翻倍奖励和连击奖励	未收到奖励
账单怎么算的？我今天收入82.9+8+8+15.3=114.2-20%=91.36-5%=86.79我的钱包收入应该是86.79元。为何我的流水74.2元？少12.59元为何请解释。	你们的车费是怎么扣的
我的车注册是在洛阳，能不能把注册地改为郑州？	城市如何更改
元月四日我晚高峰接了四单怎么奖励没有到帐呢？	未收到奖励
在规定时间内到了指定地点，乘客却取消了订单？	如何申请补偿
还有就是我一抢提示指派司机接单	指派订单模式如何设置
订单收入分配不均可	你们的车费是怎么扣的
接远乘客有没有补偿？	如何申请补偿
7号高峰奖，跑了4单，只发了2单的奖励。另12月27日24点过后夜间每单奖励也末发放	收到奖励金额不正确
查一下今天我扣了多少钱？	查询扣费明细
对路线不熟悉，怎样设置区域订单	司机端无法设置听单距离
现在为什么一个小时过去了没有单	系统未播报订单
我有一张定单两小时还没有付款	乘客未支付
限号日，系统是否会默认指派限号地段以外的单	车辆限号能否服务
资口亭客户取消订单，请申请空驶补偿	如何申请补偿
费用还没支付的，怎么处理呢	乘客未支付
指派模式也没有单子，离我50米也没有抢到单子	系统未播报订单
变更城市具体操作	城市如何更改
1月7日00：54分的订单至今未付款！	乘客未支付
我咋晚上有两个单客人没支付，我又无法联系对方怎么办？	乘客未支付
每单平台提多少	你们的车费是怎么扣的
请问我昨天有一单发给乘客的结账信息。他没有收到怎么办？	已结束订单未收到支付消息
我的钱包为什么会有负数的	如何查询账户余额
平台怎么知道乘客不支付	乘客未支付
为什么我成单率达到了50%,指派模式也接了5单以上，星级4.7星却拿不到奖励	未收到奖励
我的那个单子还没处理啊？	客服何时回电
不能看钱包	如何查询账户余额
需要乘客支付的规矩是你们定的，那我们的利益谁来保障，很多乘客都是说下车后支付，你叫师机怎么办？	乘客未支付
有关部门会管吗	滴滴是不是合法
为什么会有一元其他费用，不参与折扣，打车之前并未提示！	什么是其他费用
我在今天最后一个专车单 收到的金额与奖励不对吧！	收到奖励金额不正确
拼车是怎样收费的	滴滴打车如何计费
昨天16:00---22:00的奖励计少了，请重计	收到奖励金额不正确
我的怎么是4.9	如何提升星级
我的预约单怎么没有了	订单被取消司机端未显示
专车初次绑银行卡怎么操作	如何补齐资料
今天接的这一单客人说没叫车，她的系统也取消不了，明天麻烦你们帮我这单订单消掉，新仓山阳楼到秀峰路的谢谢免的客人投诉	如何取消订单
今天上午11点接了个玉皇庙到火车站的，我过去了，给乘客打电话，他说打车走了，麻烦客服给申请个空驶补偿吧	如何申请补偿
超过5分钟取消订单没有补偿？	如何申请补偿
丰泽园到步行街那个单子，帮我取消	如何取消订单
我现在还不会正常接单	司机如何接单
订单的0.5元车辆保险是车辆自带30万保障之外是什么意思	每单五毛钱的保险费用是什么
67813奖励为发放！！！	未收到奖励
升级的线上准备已经完成，下一步是等待通知？	专车升级时间
完成越多奖励越多生么意思	奖励活动有哪些
昨天早上七点，我把上周账户转到我卡上，已经超过二十四小时至今未到账，请问为何？	提现到账时间
7点之前的，连击奖第13单，怎么没有的	未收到奖励
惠州地区计费怎么由2元/公里降低1.5元/公里了？也不给一个通知，这么低，就不跑了。	滴滴打车如何计费
我昨天已经跑了五单指派今天怎么还没奖励	未收到奖励
我转钱到农行卡里有五天了，怎么还没到帐，卡号6228480399464027370，你帮我查查	提现到账时间
我以前推荐一位叫杨浩东的车主，他已完成10单。我却没有收到奖励？？	未收到推荐奖励
无锡现在收费是怎样的？	滴滴打车如何计费
运政干涉滴滴	滴滴是不是合法
10627奖励活动25元封顶指的是一天还是没个订单25元封顶	奖励活动有哪些
我是新蔡县城的，为什么收到的都是驻马店的订单?	指派订单距离乘客较远
我的快车升级怎么一个星期了都没反应？	快车审核时间
指派两单都完成了，完成率是多少	怎么计算查询完成率
顾客付款期限最长是多久	乘客未支付
刚刚有个定单 ? 我已经到了 ? 她取消了	如何申请补偿
我1月1日没有跑晚上你们咋会扣钱呀	你们的车费是怎么扣的
第五周王牌奖励有没有到账	未收到奖励
听说交警在抓滴滴司机，说是黑车	滴滴是不是合法
我想问一下从巨环到家和花园需要多少钱呀	滴滴打车如何计费
现在专车怎么跟出租车一个价	滴滴打车如何计费
我觉得系统比实际行程距离要短！	计费错误
我想问下昨日的抢单奖励我怎么没有呢	未收到奖励
我的车费41扣了下来怎么只有22了	你们的车费是怎么扣的
未按导航规定的路线行驶，道路施工原因造成	导航规划路线错误
我升专车的线上通过了，线下的怎么搞啊？	专车升级时间
上次奖励活动完成六单有奖励怎么没有	未收到奖励
我昨天达到2个奖励条件怎么只奖励1个	收到奖励金额不正确
六个多小时接六单，正常吗	系统未播报订单
权益本周	什么是奖牌权益
我注册首周完成了八单以上为什么没看到奖励呢	未收到奖励
昨天星月冲单奖完成6单，应该奖励50，只转了30	收到奖励金额不正确
晚上跑了一单14.1怎么到账才9.89，这权益是怎么计算的，要扣那么多费用吗？	你们的车费是怎么扣的
我这不由铁牌重新开始？	什么是奖牌权益
快车是怎么收费的？里程与时间	滴滴打车如何计费
升级专车提交了资料一个星期了没反应	专车升级时间
接到单后告诉乘客十分钟之内到！乘客就说司机告诉说要等很久就取消！这样又影响司机成交率！太不公平了！还做个鬼！	乘客取消订单是否算取消率
支付宝免密支付	免密支付的定义
我有三单，乘客取消的单，请问对我有补偿吗	如何申请补偿
我是辽FCW837车主，现在车牌改成吉A253B2，什么时候能给我改过来，	如何更改车辆信息
我的这个星期的拼车成对奖励一直没有到	未收到奖励
请问，客户给的小费是你们代收还是我们自己收现金？	乘客是如何添加小费的
怎么推荐朋友跑快车	如何推荐司机加盟
提现需要什么银行，农村商业银行不行吗	提现支持的银行卡类型
这一封半个月取不了钱呐！！！！	可以提什么时候的钱
怎么算排名第一	怎么查看司机排名
为什么星级数据20多天没更新？	如何提升星级
为什么我接单后在规定时间到了接单地，顾客无故取消订单之后，系统居然还会扣我的成交率	乘客取消订单是否算取消率
要什么银行的卡号	提现支持的银行卡类型
我昨天早上七点转的账怎么还不到啊	提现到账时间
2016.1.12早7:01接的订单是什么原因订单奖励没有实时到帐？	未收到奖励
我3月1号的冲单奖怎么还没下来？	未收到奖励
我的新人奖励期限内完成奖励40元什么时候可以入账	未收到奖励
我今天限号，后天再拉不受影响吧	车辆限号能否服务
如果我投诉乘客没有支付打车费公司会怎么处理	乘客未支付
车牌号码属于潍坊的，我在北京用潍坊的手机号注册的，这样的话注册地属于北京还是潍坊？	可以异地注册滴滴打车吗
我拉够17单了怎么好几天也拿不到1分钱奖励	未收到奖励
我要把注册地东莞市改为深圳市	城市如何更改
车子过户 ，车牌也换了，想改车主 号牌 手机号，怎样改？	如何更改车辆信息
更新到自动接单	系统自动接单
我十一号了二十五位乘客是奖励一百十五元吗？	未收到奖励
申请专车后还能跑快车单吗。	升专车以后是不是就不能拉快车单子了
15995714741 为啥我下午订单 约车约4.5 到了目的地看到手机显示5.2 最后我是自动扣费的嘛 扣了9呢	什么是动态调价
到达现场后并等了五六分钟，乘客取消订单	如何申请补偿
您好 我这个App现在接单没有声音怎么弄	软件无声音
接单后，高速费怎么算	高速费如何处理
十二三公里还近，那这么远接客户有没有补助	如何申请补偿
我十二月二十三号早高峰，二十四号早高峰，二十五号早高峰和晚高峰奖励未到帐	未收到奖励
您好，昨天晚上叫快车，人没上车就被接单计费，打司机电话没反应，已经投诉了，到现在还没反应，影响我生活。	乘客未上车产生费用
你们一点八倍车费为什么没有通知我	什么是动态调价
怎么封半个小时还是不可以用	账号封禁时间已到未解除的原因
为什么我的单子25的 还需要支付什么8块其它费用到33	什么是其他费用
请问现在深圳的滴滴对乘客收费是什么标准呢	滴滴打车如何计费
接单后客人当天没有结账，此单算当天的接单数量吗	乘客未支付
我昨天平峰期接了15单怎么才奖励30元	收到奖励金额不正确
没有单给我派了，	系统未播报订单
九江的价钱怎么算呀	滴滴打车如何计费
昨天下午一单从西湖国贸中心到唐人儒亿四季餐厅，至今未支付车费	乘客未支付
别人用我的车注册了怎么才能取消	注册时提示车牌号已存在
等了四个小时，就给一单，烦死了	系统未播报订单
深圳现在运管会不会查滴滴快车	滴滴是不是合法
广州对外地车滴滴打车查得很严重呀！如果交委查到怎么办？	滴滴是不是合法
帮我注销信息吧	我要注销滴滴快车账号
我咨询一下，昨天晚高峰的第三单怎么没有5元的奖励？	未收到奖励
注册完成半个小时之内没有订单的是吗	注册后是否就可以接单
我所说的是路桥ETC	武汉ETC补助什么时候发
接人太远怎么算	指派订单距离乘客较远
工作城市改变，可改城市吗？	城市如何更改
我的十九号还有二十号的抢单奖怎么没有到账啊	未收到奖励
我是新注册的，之前完成了规定的单子，没有奖励啊	未收到奖励
乘客地址定位错，指派订单给司机后乘客马上取消了订单。我的指派完成率怎样可以不受影响	如何申请补偿
我已经到目的的了，乘客取消	如何申请补偿
我的星怎么样能长上去	如何提升星级
我的昨天18.38分的订单奖励不对啊！	收到奖励金额不正确
近来抓的很严车被扣怎么样办	滴滴是不是合法
为什么叫车单还没开始抢呢就被别人抢了？	抢单提示被抢
分帐显示80％为什么只分到75％	你们的车费是怎么扣的
我的15.16号两天的平峰抢单奖为什么还不到财?	未收到奖励
乘客误操作五个星评价变成一星怎么办？	乘客评错星级，星级能否修改
预约单算在奖励活动里吗？时间按接单还是完成单	奖励时间怎么计算
请问奖励仅限注册地)是什么意思	异地车牌是否有奖励活动
有什么办法能接到更多单子	订单密集区
我加0.4倍是什么意思	什么是动态调价
我昨天4点提现的，怎么到现在没到呢？	提现到账时间
如果今天完成18单是奖励30元吗？	奖励活动有哪些
要求补哪些资料，怎样上传到哪里	如何补齐资料
怎么看司机账户	如何查询个人信息
为什么我的星级掉那么快？	如何提升星级
电话15168771599，这个人连续3次叫车，3次取消，自己或者帮别人刷单，要查清楚	作弊举报
为什么我一天没出车评级就降了那么多	星级如何评定
我昨天有个拼车拼成功了，为什么没得奖励	未收到奖励
自动接单成都开通没	系统自动接单
奖励要4.6以上星级，怎么提升这个？	如何提升星级
14点26，接单超过5分钟，到达乘客地点结果乘客取消订单了	如何申请补偿
一直都没有答案，我都提供了	客服何时回电
最近一笔账单没有记录	流水怎么查询
乘客不支付车费，协调不成功，何时给予补偿	补偿到账时间
请问一下最近西安市的钓鱼执法滴滴快车经常被执法人员扣押罚款很高，不知道我们这些开滴滴车的人怎么办	滴滴是不是合法
都十几天了奖励都没给	未收到奖励
滴滴会返一部分车费给司机吗	你们的车费是怎么扣的
那，好差评的比率是多少来定星级	星级如何评定
我的有一笔未付款账单怎么还没处理	乘客未支付
限号不接单影响明天的实时翻倍'吗'	一天不接单有影响吗
我怎么支什快车费用？	如何支付订单
好评率到0了会怎么样	好评率有什么影响
使用滴滴抢单加速器属于作弊吗	作弊封禁的情况有哪些
拿驾驶证半年能不能做快车司机	驾驶证的要求
车辆升级，株洲地区有专车吗	滴滴专车支持的城市
今天有个客服取消订单，我能不能的空驾补偿？	如何申请补偿
估计价格9块 实际价格16 正常吗	什么是预估费用
请问海丰有没有开通	滴滴专车支持的城市
注册地错咯，怎么改	城市如何更改
好评率低会怎么样	好评率有什么影响
费用怎么计费	滴滴打车如何计费
收费降20%是春运期间还是长期的	为什么会调整价格
每次都要扣钱，司机赚什么钱	如何增加司机收入
这样，我推荐了你个司机加盟滴滴，15号激活了。截止到21号，他完成了10单。为什么我没有推荐奖励	未收到推荐奖励
滴滴公司对我们有没有什么补助！价格实在太低了！	如何增加司机收入
今天发现分从5变成4.8了!怎么回事!	星级如何评定
车费下调了	为什么会调整价格
乘客电话关机接不到人，改派怎么还出八块钱啊	乘客失联
为什么抢单奖50，，到账只有49.12呢	你们的车费是怎么扣的
我的手机13488893120推荐了13716942736 ? ? 当时奖励id48619。请核实！推荐奖励一直未发	未收到推荐奖励
平时都是体现后几个小时到帐，已经过了24个小时了都还是不到帐	提现到账时间
我想问哈，怎样设置只跑合川城区	司机端无法设置听单距离
而显示是4.5星	如何提升星级
我昨天连续跑了八单，你们给我的奖励在哪里呢？	未收到奖励
我在江西新余，怎么还没给我安排租赁公司。	什么时候给我分配租赁公司
车辆号码被以前手机号占用了怎么办	如何更改电话号码
给排个单了 ?草泥马	系统未播报订单
需要在线支付是什么意思	如何支付订单
请客服重视现在用抢单软件作弊的车主，还打架一个公平。	作弊举报
支付了，只是没到我的钱包	如何查询账户余额
帮我关闭一下订单	如何取消订单
我想问下，我新人奖有没有拿到	新人奖活动周期
日照的车可以在潍坊干吗	异地车牌是否有奖励活动
信号也好，网络流畅，还是听不到	系统未播报订单
为什么一对一会被别人抢走	派单被抢原因
我可以更换车型吗？因为之前的车费油啊	如何更改车辆信息
外地车在成都跑快车有补贴吗	异地车牌是否有奖励活动
我22日的奖励代码为11859的奖励为何不发呢，亲？	未收到奖励
我想把我车牌转移到苏州要怎么去办	异地车牌是否有奖励活动
为什么我的星级分只有4.9分了呢	星级如何评定
为什么客户收不到帐张？	已结束订单未收到支付消息
为何_，我平峰单，高峰单都没奖励，这车咱开开	未收到奖励
21号的抢单奖没到	未收到奖励
自动派单	系统自动接单
吉首市 没有奖励吗	未收到奖励
你们叫我不能给乘客打电话，他又不付款，你们又不解决，这叫我们怎么看你们，	乘客未支付
今天有两单空驶乘客取消有补偿吗	如何申请补偿
我已到达预约地点，客户取消订单	如何申请补偿
昨天周二提现的钱怎么没到账？账号都是本人的也输对了，到现在卡里都没到，怎么回事？	提现到账时间
我两台车可用一个手机号注册快车吗	同一个账号可以注册两辆车吗
有一笔无法联系乘客而没有坐车的8元钱我已经通过微信转给乘客了，现在收到系统提示该怎么办？	乘客未上车产生费用
有客户不付车费，催款也不理会怎么办呢	乘客未支付
请问现在是多少钱一公里？我怎么觉得没以前多？	滴滴打车如何计费
没有自动接单选项啊？	系统自动接单
前两笔怎么个解释？我就乘客一次没支付的	乘客未支付
如何拒收短信	不想接收你们的短信怎么办
早晚高峰遇到限行的订单，怎样处哩	车辆限号能否服务
前峰时段奖励，包括预约订单吗？	奖励活动有哪些
乘客半月前一次90多元没有支付	乘客未支付
订单价格9元'怎么钱包只有6.4元	你们的车费是怎么扣的
为什么在密集区，听到一个钟了一个？单都接不到	系统未播报订单
我的奖励怎么没有到账，人工台也没人接	未收到奖励
注册时的电话号码与现使用的不一致，有什么影响吗？	如何更改电话号码
这单费用不对怎么办？	如何修改订单价格
滴滴平台怎么收取司机费用	你们的车费是怎么扣的
未支付订单最晚几天能到账？	乘客未支付
标志3008为什么不能定义为专车呢？仅仅只是因为轴距只有2650？	加入专车需要的条件
机场等人怎么计费	去机场的订单，过路费怎么算
我的车什么时候能升级到专车，已经一个月20天了	专车升级时间
账号封禁一般几个小时	账号封一天的时间是多长时间
上个月还有两单没有付钱我一直在催款但一直都没有付，我都已经出现过两笔坏账了！	乘客未支付
2月5日，有一位乘客没有付款。请帮忙处理一下	乘客未支付
如果开车之后遇到运管局被指控黑车怎么办？	滴滴是不是合法
为什么抢单要等10秒，有些单还未报完就以被抢呢？这是为什么？	抢单提示被抢
成交率低于多少要限封号	成交率目前是多少
为什么我的分成比例没有80%	你们的车费是怎么扣的
是没客	系统未播报订单
我第二单为什么没有收到钱？	乘客未支付
最近的计费标准是什么	滴滴打车如何计费
一天可以接几单快车	抢单模式有次数限制吗
我想问下快车司机怎么叫车	司机如何接单
实时目的地从哪里删除	如何取消实时目的地设置
现在广州查滴滴快车	滴滴是不是合法
车子是宝骏730 我写成了宝骏的其他型号 怎么改过来	如何更改车辆信息
升级期间每天都要签到吗	如果不签到会怎么样
滴滴打车我叫了车，可手机自动关机了，也要扣钱？没上车	乘客未上车产生费用
那呼和浩特市有没有夜间服务费	夜间接单有补助吗
平台收多少	你们的车费是怎么扣的
3月8日和9日的奖金怎么还没有到帐	未收到奖励
滴滴打车为什么行政要抓呢?	滴滴是不是合法
每天都有活动吗？	奖励活动有哪些
滴滴公司解决不了任何实际问题	客服何时回电
您好，我下午怎么没有订单	系统未播报订单
我有几单还没有付款，给慛下吧	乘客未支付
快到乘客约定地点，乘客取消订单，这种情况怎么办？	如何申请补偿
昨天下午有一笔订单，当时顾客着急下车，没有支付车费。请帮我联系该客户。	乘客未支付
不不不，如何申请空驶补偿	如何申请补偿
我要换车，打挂靠公司电话没人接，还有其他方式可以改吗？	如何更改车辆信息
快车出租车重复下单	乘客同时叫两张订单如何处理
请问教练车可以申请做滴滴快车？	加入专车需要的条件
我联系不到剩客，剩客电话关机，申请改派，我干嘛要封禁？	乘客失联
我一月5号和一月6号都完成10单为什么我就收到一个奖励	未收到奖励
咋天提的现到今天都没到帐，什么原因？何时到帐。	提现到账时间
车辆车龄有无限际	加盟车的车龄要求
星级怎么评判的	星级如何评定
昨晚在接客人的途中顾客取消订单了怎么办	如何申请补偿
刚才我接了一单 乘客付款八元 为什么我的钱包里是五元八分	你们的车费是怎么扣的
我昨天有两位客户赶在一起了，A想拼车，但是B去机场着急，不同意拼车，愿意出钱让A坐别的车，A说不用就自己取消了单子，但是今天我发现我被投诉了，所以我想咨询一下是为什么	如何做快车拼车
1月19号，我的高峰单跑了6单，怎么只收到58元的奖励	收到奖励金额不正确
请问在1.12号为何扣了我117.88的款？平台说是错发，这是我的抢单奖励，请给个说法。	奖励活动有哪些
为什么进入退出抢单程序听不到声音？	软件无声音
请问我上次问的补偿有没有结果？	补偿到账时间
为什么没有呼伦贝尔地区牙克石市专车，什么时候开启	城市什么时候开通滴滴专车
我昨天拉了13单，奖励80怎么没给	未收到奖励
乘客无法完成支付	乘客未支付
昨天晚上，接乘客途中，定单取消	如何申请补偿
想变一下电话就这么难	如何更改电话号码
汕头市有滴滳专车吗	滴滴专车支持的城市
请问去外地高速过路费是谁付	高速费如何处理
我昨天的阳光奖lD77511怎么现在还没到帐呀，以前就是当天晚上到帐的呀。	未收到奖励
推荐奖励多久会到账	未收到推荐奖励
快车A级不能升级专车吗？升级不了跑不起啊，跑一单亏一单怎么跑，奖励又没有	如何增加司机收入
能添加两辆车吗	同一个账号可以注册两辆车吗
拼车第一单四个人第二单没法接	如何做快车拼车
你帮看下从南京南站到安嘉东苑的单子 怎么会60多的 感觉计费有bug	滴滴打车如何计费
多长时间通知乘客未付款	乘客未支付
现在快车司机版怎么登不上去，老是加载状态	登录提示登录失败
15日一笔订单，乘客未结账	乘客未支付
您好，我想问下，我流水30.40元，为什么钱包才22.42元那？流水账不代表钱包钱	流水和余额的区别
推荐新人司机有年龄限制吗	加盟专车有年龄限制吗
原来五星，，怎么成4.9星了，，影响接单吗，，	星级如何评定
为什么客人付31.6元，到我账上有17元呢	你们的车费是怎么扣的
空驰费咋申请	如何申请补偿
为什么今天总收入177多元，为什么收入只有133多元午安	查询扣费明细
乘客取消订单扣钱吗？	订单有取消费用吗
拼车事宜	什么是拼车
没有禁止滴滴专车，那快车有禁止吗	滴滴是不是合法
刚客户一直没接电话，我不小心听了改派，现在无法接单了	改派有什么处罚
客人给我付了25.4为什么余额只有19.4o	流水和余额的区别
那个自动接单功能我怎么没有	系统自动接单
我帐户流水有60元，为什么我的钱包只有45元	流水和余额的区别
我是浙江省杭州市变更到浙江省嘉兴市	城市如何更改
我在四川南充市南部县注册的，现在在四川成都跑滴滴	城市如何更改
昨天的提现为什么又返还到帐户了	提现成功之后退回
我2月1号，平峰期完成10单，为何见不到有80元奖励	未收到奖励
为什么高峰期半小时没有订单	系统未播报订单
